search_id,hotel_id,lat,lon,hotel_stars,user_stars,num_review,price,chosen
308154281,544043,47.49943,19.04877,40,4.3,25,90,1
308154281,1510858,47.49728,19.057,40,4.3,10,90,0
308218907,25906,40.76462,-73.97782,25,4.4,825,125,1
308218907,104193,40.76129,-73.98751,30,4.3,450,253,0
308218907,1060276,40.78849,-73.97474,25,3.4,175,172,0
308218907,12117,40.78236,-73.98054,35,4.3,320,209,0
308218907,1483268,40.74455,-73.987,15,2.6,45,80,0
308218907,15987,40.76112,-73.98695,30,4.5,360,239,0
308218907,1639,40.75065,-73.97006,35,4.3,150,146,0
308218907,19707,40.75695,-73.97208,35,4.1,390,239,0
308218907,19782,40.75658,-73.97432,40,4.3,325,239,0
308218907,20213,40.76553,-73.97207,50,4.6,10,477,0
308218907,20288,40.75508,-73.97338,30,3.6,390,239,0
308218907,2366813,40.74999,-73.98618,30,4.7,80,239,0
308218907,24245,40.75906,-73.98624,30,3.2,665,299,0
308218907,25888,40.76446,-73.98082,30,3.8,275,199,0
308218907,28245,,,25,3.7,220,99,0
308218907,306019,40.75543,-73.9814,40,4.8,345,225,0
308218907,4164,40.76452,-73.98078,35,3.8,1025,299,0
308218907,41864,40.75455,-73.97742,35,4.1,1005,216,0
308218907,522605,40.74523,-73.98466,30,3.5,125,209,0
308218907,532999,40.74441,-73.98891,30,4,100,212,0
308218907,533644,40.76821,-73.98416,35,3.5,270,209,0
308218907,6260,40.75957,-73.98539,25,3.4,50,160,0
308218907,7498,40.76181,-73.98274,35,3.5,150,269,0
308218907,853497,40.75936,-73.98512,40,4.4,135,333,0
308218907,87,40.76264,-73.98213,35,3.9,510,269,0
308221618,1144474,40.75689,-73.98292,20,3.5,245,179,1
308221618,104193,40.76129,-73.98751,30,4.3,450,294,0
308221618,1144474,40.75689,-73.98292,20,3.5,245,179,0
308221618,15987,40.76112,-73.98695,30,4.5,360,386,0
308221618,1639,40.75065,-73.97006,35,4.3,150,368,0
308221618,1901,40.75068,-73.97421,35,4.3,325,420,0
308221618,19782,40.75658,-73.97432,40,4.3,325,449,0
308221618,20288,40.75508,-73.97338,30,3.6,390,354,0
308221618,2238808,40.76457,-73.99551,40,,,352,0
308221618,2366813,40.74999,-73.98618,30,4.7,80,339,0
308221618,24245,40.75906,-73.98624,30,3.2,665,399,0
308221618,25033,,,25,3.5,1160,239,0
308221618,25888,40.76446,-73.98082,30,3.8,275,251,0
308221618,25906,40.76462,-73.97782,25,4.4,825,299,0
308221618,3020101,40.74633,-73.98607,20,,,200,0
308221618,306019,40.75543,-73.9814,40,4.8,345,465,0
308221618,41009,40.75227,-73.9934,35,4.3,445,279,0
308221618,4164,40.76452,-73.98078,35,3.8,1025,399,0
308221618,41864,40.75455,-73.97742,35,4.1,1005,484,0
308221618,533644,40.76821,-73.98416,35,3.5,270,424,0
308221618,5628,40.75336,-73.96647,30,4,85,263,0
308221618,6260,40.75957,-73.98539,25,3.4,50,259,0
308221618,67740,40.73954,-73.98274,30,4,75,305,0
308221618,7498,40.76181,-73.98274,35,3.5,150,311,0
308221618,8354,40.76096,-73.98482,35,4,175,344,0
308221618,87,40.76264,-73.98213,35,3.9,510,319,0
308237297,27924,40.76299,-73.98005,40,4.5,55,269,1
308237297,13201,40.74437,-73.98548,40,4.1,110,223,0
308237297,14747,40.76213,-73.97195,50,,,733,0
308237297,1880311,,,40,3.6,25,159,0
308237297,19669,40.75615,-73.97266,40,3.5,110,242,0
308237297,19782,40.75658,-73.97432,40,4.3,330,259,0
308237297,20213,40.76553,-73.97207,50,4.6,10,480,0
308237297,20525,40.73827,-73.98566,45,4.3,25,396,0
308237297,2175451,40.72808,-73.99097,40,4.3,30,375,0
308237297,2238808,40.76457,-73.99551,40,,,199,0
308237297,25559,40.76431,-73.96899,45,4.5,70,299,0
308237297,25764,,,40,4.5,135,216,0
308237297,306019,40.75543,-73.9814,40,4.8,345,255,0
308237297,3670,40.771392,-73.98241,40,4,305,179,0
308237297,41198,40.72165,-74.00446,40,4,25,295,0
